CHR	startp	endp	n.sgRNAs	avg.logFC	guideIdx
18	13825919	19154610	36	0.1143	73166, 73201
18	19202740	19203876	5	-4.0076	73202, 73206
18	19283541	19997476	20	-0.0809	73207, 73226
18	20562232	20572794	4	-1.4942	73227, 73230
18	20573033	29340503	158	0.0703	73231, 73388
18	29453379	29522587	5	-2.1034	73389, 73393
18	29598926	33267073	92	0.0275	73394, 73485
18	33554887	33610843	9	-0.8387	73486, 73494
18	33610999	43579429	83	0.013	73495, 73577
18	43667422	43698266	9	-1.8596	73578, 73586
18	43698269	47803547	110	0.0622	73587, 73696
18	47812219	47917555	10	-1.4145	73697, 73706
18	48190494	55247341	104	0.1135	73707, 73810
18	55274685	55278922	5	-3.2866	73811, 73815
18	55355721	72234647	259	0.1993	73816, 74074
18	72343077	72344901	5	-0.6914	74075, 74079
18	72914009	77221351	58	0.1752	74080, 74137
18	77440072	77464918	5	-2.8919	74138, 74142
18	77623764	77960791	37	-0.2786	74143, 74179
19	282291	3964665	615	-0.2098	74180, 74794
19	3980628	3984190	5	-3.2048	74795, 74799
19	4012993	4234696	35	-0.0993	74800, 74834
19	4249286	4254414	5	-3.3659	74835, 74839
19	4280191	4408923	32	0.0288	74840, 74871
19	4409059	4423835	4	-1.4771	74872, 74875
19	4446868	5690621	99	-0.1871	74876, 74974
19	5691336	5691428	4	-3.7067	74975, 74978
19	5696754	7676629	221	-0.1463	74979, 75199
19	7689309	7693119	5	-3.5947	75200, 75204
19	7695510	7747370	26	-0.0495	75205, 75230
19	7747366	7747440	3	-1.6706	75231, 75233
19	7747513	7981743	42	0.0169	75234, 75275
19	7986336	7986949	4	-2.6614	75276, 75279
19	7987032	8491575	61	-0.164	75280, 75340
19	8509981	8532469	3	-2.1193	75341, 75343
19	8536271	9449259	54	-0.0388	75344, 75397
19	9449864	9449968	4	-2.3332	75398, 75401
19	9449978	9929294	65	-0.0963	75402, 75466
19	9939295	9939362	3	-5.6634	75467, 75469
19	9949179	10207102	30	-0.0336	75470, 75499
19	10217245	10270526	21	-1.2494	75500, 75520
19	10335184	10745524	88	-0.1155	75521, 75608
19	10781780	10790600	5	-2.1466	75609, 75613
19	10812361	10818204	5	-0.2374	75614, 75618
19	10870423	10906078	5	-3.085	75619, 75623
19	10945961	11224064	35	-0.3583	75624, 75658
19	11258676	11259886	5	-2.3381	75659, 75663
19	11303665	13029083	301	-0.1204	75664, 75964
19	13039252	13041576	5	-2.2179	75965, 75969
19	13049960	17953889	518	-0.2809	75970, 76487
19	17972904	17972970	3	-4.6939	76488, 76490
19	17983255	18420602	66	-0.2755	76491, 76556
19	18420599	18423492	5	-3.2882	76557, 76561
19	18466704	18547583	25	-0.2354	76562, 76586
19	18572564	18632764	5	-1.6176	76587, 76591
19	18650234	18678002	10	-0.4804	76592, 76601
19	18684479	18685749	5	-3.2451	76602, 76606
19	18699811	30477317	356	-0.5402	76607, 76962
