GENE	BF
ASIC5	-18.287
ASIP	-13.599
ASL	-15.306
ASMT	-5.567
ASMTL	-11.856
ASNA1	-0.574
ASNS	-7.278
ASNSD1	-9.117
ASPA	-10.414
ASPDH	-11.495
ASPG	-9.458
ASPH	-26.894
ASPHD1	-17.420
ASPHD2	-9.989
ASPM	-16.559
ASPRV1	-14.405
ASPSCR1	-12.372
ASRGL1	-13.655
ASS1	6.805
ASTE1	-17.373
ASTL	-16.465
ASTN1	-13.465
ASTN2	-30.432
ASUN	-5.309
ASXL1	-12.457
ASXL3	-12.920
ASZ1	-16.774
ATAD1	-6.119
ATAD2	4.021
ATAD2B	-13.086
ATAD3A	-5.894
ATAD3B	-8.518
ATAD3C	-6.838
ATAD5	-6.061
ATAT1	-16.433
ATCAY	-20.614
ATE1	-16.845
ATF1	-10.169
ATF2	-4.210
ATF3	-31.431
ATF4	-2.251
ATF5	-18.535
ATF6	7.768
ATF6B	-3.876
ATF7	-13.355
ATF7IP	-12.476
ATF7IP2	-12.468
ATG10	-15.474
ATG12	1.436
ATG13	-17.004
ATG14	-15.133
ATG16L1	-2.111
ATG16L2	-14.249
ATG2A	-21.211
ATG2B	-14.002
ATG3	1.570
ATG4A	-15.298
ATG4B	-16.126
ATG4C	-8.889
ATG4D	-17.956
ATG5	5.316
ATG7	-8.700
ATG9A	1.735
ATHL1	-8.463
ATIC	-6.187
ATL1	-13.471
ATL2	-3.801
ATL3	-17.766
ATM	-23.346
ATMIN	-14.074
ATN1	-7.864
ATOH1	-10.035
ATOH7	-9.081
ATOH8	-8.610
ATOX1	-4.162
ATP10A	-12.174
ATP10B	-14.686
ATP10D	-18.710
ATP11A	-10.263
ATP11B	-9.484
ATP11C	1.606
ATP12A	-11.269
ATP13A1	-5.951
ATP13A2	-14.965
ATP13A3	-15.619
ATP13A4	-18.709
ATP13A5	-15.431
ATP1A1	6.358
ATP1A2	-9.460
ATP1A3	-6.715
ATP1A4	-15.638
ATP1B1	-14.738
ATP1B2	-18.155
ATP1B3	-20.597
ATP1B4	-14.913
ATP2A1	-13.973
ATP2A2	36.445
ATP2A3	-16.694
ATP2B1	-5.497
ATP2B2	-15.413
ATP2B3	-14.644
ATP2B4	-11.794
ATP2C1	-12.813
ATP2C2	-15.912
ATP4A	-15.413
ATP4B	-8.512
ATP5A1	46.772
ATP5B	32.071
ATP5C1	23.189
ATP5D	24.994
ATP5F1	31.524
ATP5G1	-3.213
ATP5G2	0.446
ATP5G3	-15.438
ATP5H	-3.192
ATP5I	0.570
ATP5J	34.901
ATP5J2	-5.229
ATP5J2-PTCD1	-37.527
ATP5L	19.234
ATP5L2	4.086
ATP5O	7.189
ATP5S	-11.302
ATP5SL	16.207
ATP6AP1	11.925
ATP6AP1L	-2.159
ATP6AP2	6.386
ATP6V0A1	-13.148
ATP6V0A2	-10.891
ATP6V0A4	-18.306
ATP6V0B	21.268
ATP6V0C	84.685
ATP6V0D1	53.586
ATP6V0D2	-8.044
ATP6V0E1	-12.841
ATP6V0E2	-7.949
ATP6V1A	76.771
ATP6V1B1	-11.245
ATP6V1B2	24.771
ATP6V1C1	17.031
ATP6V1C2	-3.907
ATP6V1D	32.849
ATP6V1E1	47.557
ATP6V1E2	-15.010
ATP6V1F	2.168
ATP6V1G1	18.861
ATP6V1G2	-14.743
ATP6V1G3	-12.905
ATP6V1H	41.082
ATP7A	-14.325
ATP7B	-18.842
ATP8A1	-15.767
ATP8A2	-12.993
ATP8B1	-11.509
ATP8B2	-11.818
ATP8B3	-16.021
ATP8B4	-12.946
ATP9A	-18.680
ATP9B	-7.567
ATPAF1	-21.885
ATPAF2	-19.101
ATPIF1	0.196
ATR	30.426
ATRAID	-12.319
ATRIP	3.440
ATRN	-11.807
ATRNL1	-18.068
ATRX	-4.152
ATXN1	-20.006
ATXN10	8.215
ATXN1L	-6.685
ATXN2	-11.672
ATXN2L	-10.429
