genes	921	Mel202	Mel270	Mel285	MP38	MP41	MP46	OMM1	OMM23	OMM25
PDLIM7	-0.020962224121836945	-0.029581452215978767	-0.04741782133607581	0.0642972904006255	-0.15644372691920652	-0.09232456734222189	0.03892549280994945	0.13530227040424492	0.13109195512758703	0.05725098367273271
DOK3	-0.07469232108997874	0.004715377464530717	-0.09844695688336513	0.07807163579419436	0.05116853245817227	-0.040579201261615745	0.07331922626779694	-0.04835000877422979	0.11646454331265203	-0.031218557675057487
DDX41	-0.5534660483307049	-1.0290205956436942	-1.1949325866736884	-0.24814969376902254	-0.22089329687848747	-0.5012815634280919	-2.6323695303122894e-4	-0.894906346913776	-0.8224745162460675	-0.8319070651650617
FAM193B	0.1632166255086491	0.12002928347067444	-0.03885933572323512	-0.2475743619809999	-0.052376699221797725	-0.06821019197956035	-0.038013634159508744	0.004174801412143064	-0.011183784442807166	-0.10692015139945124
TMED9	0.3801873841005236	0.15221084735870355	0.2919116590003733	0.4077985977349364	0.24855496983760125	0.20340457483072247	0.29338530789872347	0.12460758054911332	0.30031756648725183	0.22025693043355216
B4GALT7	0.33735739331612213	0.3400236442329377	0.21029957600082647	-0.21087017269890043	-0.0796350734175372	-0.040435384896815904	0.12163142267156696	0.09626502582141674	0.20279132614254872	0.05343964177493257
FAM153A	1.2595445348992809	0.04862925479328628	0.06259743475438204	0.3123928297180599	0.010001835872817166	0.08848575907769535	0.21767851378394873	0.16130436202492998	0.20306782151150757	0.05221053026352587
PROP1	-0.13575429853876686	-0.13327782844953254	0.01928075830718443	-0.26600339684302937	-0.14836542053965085	-0.03406683859796247	0.006981095529303502	0.06716975474143212	0.20083075034627182	0.03113655617913554
N4BP3	0.5040535407083598	0.4847356792119488	0.19414186671626876	0.6223537064527873	0.3199971447063951	0.26730832494677415	0.1783593061493083	0.31179903775676626	0.45832561065480837	0.39340286391484963
RMND5B	0.333325054316077	0.047253654648143906	-0.12055829868199515	0.14850663227906602	-0.002037453380998548	-0.16103164658131308	0.02835098932502605	-0.06371464782016042	0.13629663225476163	-0.030297322462218817
NHP2	-0.9208549465774014	-1.2314227299656948	-0.8318684632767086	-0.3383619622887536	-0.10673949991900399	-0.38658498990993434	-0.02899262553235956	-1.0453538833250748	-0.5145046452252717	-1.018644801088361
